"Source";"Target";"Type";"Year"
27223;16696;"Directed";1987
27223;33725;"Directed";1987
27223;19643;"Directed";1987
27223;30294;"Directed";1987
27223;8411;"Directed";1987
27223;33272;"Directed";1987
27223;8542;"Directed";1987
27223;6437;"Directed";1987
27223;14893;"Directed";1987
27223;32941;"Directed";1987
27223;20903;"Directed";1987
27223;631;"Directed";1987
27223;6447;"Directed";1987
27223;32655;"Directed";1987
27223;36820;"Directed";1987
27223;29712;"Directed";1987
27223;2079;"Directed";1987
27223;25531;"Directed";1987
27223;9105;"Directed";1987
27223;36828;"Directed";1987
27223;24366;"Directed";1987
27223;22962;"Directed";1987
27223;31015;"Directed";1987
27223;15821;"Directed";1987
27223;33281;"Directed";1987
27223;9820;"Directed";1987
27223;10503;"Directed";1987
27223;20935;"Directed";1987
27223;4714;"Directed";1987
27223;24665;"Directed";1987
27223;34764;"Directed";1987
27223;10554;"Directed";1987
27223;30343;"Directed";1987
27223;25316;"Directed";1987
27223;9702;"Directed";1987
27223;21803;"Directed";1987
27223;2417;"Directed";1987
27223;4143;"Directed";1987
27223;17532;"Directed";1987
27223;36427;"Directed";1987
27223;951;"Directed";1987
27223;35731;"Directed";1987
27223;36473;"Directed";1987
27223;28265;"Directed";1987
27223;35374;"Directed";1987
27223;3867;"Directed";1987
27223;9357;"Directed";1987
27223;22755;"Directed";1987
27223;11738;"Directed";1987
27223;30660;"Directed";1987
27223;29472;"Directed";1987
27223;7964;"Directed";1987
27223;30379;"Directed";1987
27223;34192;"Directed";1987
27223;7384;"Directed";1987
27223;26488;"Directed";1987
27223;18318;"Directed";1987
27223;14090;"Directed";1987
27223;12322;"Directed";1987
27223;18358;"Directed";1987
27223;16179;"Directed";1987
27223;36033;"Directed";1987
27223;22428;"Directed";1987
27223;26793;"Directed";1987
27223;13497;"Directed";1987
27223;26796;"Directed";1987
27223;17707;"Directed";1987
27223;11443;"Directed";1987
27223;27668;"Directed";1987
27223;32153;"Directed";1987
27223;37410;"Directed";1987
27223;10030;"Directed";1987
27223;34514;"Directed";1987
27223;15394;"Directed";1987
27223;29498;"Directed";1987
27223;25007;"Directed";1987
27223;27683;"Directed";1987
27223;3911;"Directed";1987
27223;34372;"Directed";1987
27223;28321;"Directed";1987
27223;3625;"Directed";1987
27223;34528;"Directed";1987
27223;32624;"Directed";1987
27223;21583;"Directed";1987
27223;6139;"Directed";1987
27223;17097;"Directed";1987
27223;5697;"Directed";1987
27223;21290;"Directed";1987
27223;3848;"Directed";1987
27223;22176;"Directed";1987
27223;35733;"Directed";1987
27223;21869;"Directed";1987
27223;9817;"Directed";1987
27223;28935;"Directed";1987
27223;29828;"Directed";1987
27223;24746;"Directed";1987
27223;19838;"Directed";1987
27223;17448;"Directed";1987
27223;4220;"Directed";1987
27223;16538;"Directed";1987
27223;2500;"Directed";1987
27223;16846;"Directed";1987
27223;9845;"Directed";1987
27223;31898;"Directed";1987
27223;37565;"Directed";1987
27223;15691;"Directed";1987
27223;27510;"Directed";1987
27223;35240;"Directed";1987
27223;31112;"Directed";1987
27223;22501;"Directed";1987
27223;23898;"Directed";1987
27223;12095;"Directed";1987
27223;37526;"Directed";1987
27223;6985;"Directed";1987
27223;25967;"Directed";1987
27223;33097;"Directed";1987
27223;36947;"Directed";1987
27223;18413;"Directed";1987
27223;28379;"Directed";1987
27223;16266;"Directed";1987
27223;34587;"Directed";1987
27223;16270;"Directed";1987
27223;26867;"Directed";1987
27223;289;"Directed";1987
27223;2815;"Directed";1987
27223;13279;"Directed";1987
27223;1667;"Directed";1987
27223;21341;"Directed";1987
27223;3689;"Directed";1987
27223;17704;"Directed";1987
27223;23269;"Directed";1987
27223;28396;"Directed";1987
27223;3694;"Directed";1987
27223;223;"Directed";1987
27223;4914;"Directed";1987
27223;2254;"Directed";1987
27223;12369;"Directed";1987
27223;25405;"Directed";1987
27223;19892;"Directed";1987
27223;21912;"Directed";1987
27223;35213;"Directed";1987
27223;1688;"Directed";1987
27223;30495;"Directed";1987
27223;11562;"Directed";1987
27223;33135;"Directed";1987
27223;32868;"Directed";1987
27223;20163;"Directed";1987
27223;27024;"Directed";1987
27223;13310;"Directed";1987
27223;1107;"Directed";1987
27223;31091;"Directed";1987
27223;27498;"Directed";1987
27223;5955;"Directed";1987
27223;6940;"Directed";1987
27223;23674;"Directed";1987
27223;4657;"Directed";1987
27223;33154;"Directed";1987
27223;32058;"Directed";1987
27223;19350;"Directed";1987
27223;4303;"Directed";1987
